text,label,raw_outputs,probability
加碼,1,[-2.58398438  3.88476562 -2.95703125],0.9973874972878594
營收大增，股價在5日10月均線上，不知道明天開盤會恭喜還抱著的各位,1,[-2.18945312  2.48632812 -2.2890625 ],0.982556641464251
才過不到一個月 不知道樓上看衰的人怎麼想雖然說是事後論啦 但400真的太悲觀了,2,[-0.97021484 -1.66992188  3.16601562],0.9766366745485596
酸民仔空了嗎哈哈哈,2,[ 0.62597656 -0.78369141  1.65625   ],0.6924846582724595
來朝聖，只要你發文跟你對著做就對了,2,[-2.74609375 -1.39746094  4.51171875],0.9965925897326643
會計師沒責任就不要領錢啊衝了,1,[-3.53710938  1.34375     1.31347656],0.5056197865121967
今天小發動了,1,[-2.68359375  3.70898438 -2.4296875 ],0.9961829035072879
表哥帥,2,[-0.8515625  -1.48046875  2.76953125],0.9605985224760528
剛哥黃金交叉了、持股總共漲了4%多，有看到更喜歡的謝大哥,1,[-2.6953125   3.03515625 -2.23242188],0.9916683610428108
XD酸民自己有沒有賺都不知道咧,2,[-2.13671875 -1.75488281  4.17578125],0.9955496828473782
接近一半的看好2330 創新高,1,[-2.62304688  3.66796875 -2.82421875],0.9966431980960044
要開3？4.5？,2,[-2.91796875 -1.37792969  4.41796875],0.9963218878489499
QQ 完了7定存失敗 T口T,0,[ 4.48828125 -2.01953125 -0.93164062],0.9941155992638349
好險來不及下注,1,[-1.55273438  0.31103516 -0.01315308],0.5324243676095162
開3,2,[-2.89453125 -0.71435547  3.27734375],0.9798583988297829
3啦氣,2,[-0.11248779 -1.40527344  2.609375  ],0.9226782211747302
槓龜,2,[-2.14453125 -1.30859375  3.25390625],0.9852609105101338
大股東一直賣不看好一堆酸民又被打臉,2,[ 0.91796875 -1.5078125   1.67773438],0.662632703471981
打臉打的吱吱作響 嘻嘻,2,[-2.27929688 -1.59472656  4.4609375 ],0.9964854807240698
今天空了一下,0,[ 4.9609375  -2.171875   -1.46582031],0.9975896660323973
八方是希望用自己中央廚房跟成本控管能力去改變丹堤的獲利能力，反正品牌還在，基本客源也有壓低成本就不會賠太多,2,[-2.84960938 -0.11688232  1.85058594],0.8703948379048764
如果你是美國人 可以玩看看實物交割記者標題害死人,2,[-2.45703125 -1.67285156  4.6328125 ],0.997347593145736
前提還是要先開源啊,2,[-2.74609375 -1.38671875  4.55078125],0.9966946902103823
一篇垃圾新聞釣出一堆人,2,[-1.4296875  -1.72851562  4.0546875 ],0.9928219307803585
股價通膨是在公三小？不就是股價上漲嗎？買進的股票上漲了不覺得開心？難不成要股價通縮才會爽？,1,[ 0.38525391  1.39941406 -2.04296875],0.7170024924288776
股癌說沒有,2,[-1.80371094 -1.45605469  3.5078125 ],0.9882201552243518
每個國家都有韭菜跟智障聚集的地方啦（不是在說同電子化+1 元大證券想網路改個人資料的地址結果說電真的認真要噴一個月就上一千了,2,[-3.38085938  1.35449219  1.41699219],0.5134365023487202
這篇說得很好呀，重點是不投資就只能定存活存，在QE低利時代，不投資的人只能贏過投資錯誤而賠本的人,2,[-1.31835938 -1.1953125   2.6640625 ],0.9617959167809985
還有spaceX的題材,2,[-2.41796875 -1.62792969  4.12109375],0.9953896202110734
穩懋依舊穩套,0,[ 5.2734375  -2.49414062 -1.515625  ],0.9984531355160552
說已反應的不要玩股票了啦 好好工作賺錢,1,[-3.1953125   1.70996094 -0.46826172],0.8923392353070858
難怪幾天攻漲,1,[-2.24609375  2.78125    -2.4140625 ],0.9880459420063135
股版推文真是反指標，穩懋漲上去了,1,[-3.66210938  2.828125   -0.67724609],0.9694113697021485
你不知道開高就是出貨要趕快跑嗎？,0,[ 5.2890625  -2.49609375 -1.4453125 ],0.9983973918371202
那個開高不到幾秒 XD,2,[-1.20214844 -0.75634766  2.06054688],0.9106834432329769
推!,2,[-2.90625    -1.34570312  4.40234375],0.996156071326341
初四了,1,[-0.44628906  1.48144531 -1.8359375 ],0.8462205694688008
出貨囉！,0,[ 5.34765625 -2.57226562 -1.60058594],0.9986779975491145
跌好深,0,[ 4.96484375 -2.24414062 -1.34570312],0.9974495737885786
